Curve,FPR,TPR,TPR_Lower,TPR_Upper,AUC,AUC_CI_Lower,AUC_CI_Upper
Fusion,0.0,0.0,0.0,0.0,0.8453843478177807,0.821411480963467,0.868524528261723
Fusion,0.005025125628140704,0.047850529896779265,0.0018411174511165456,0.15953314326443324,,,
Fusion,0.010050251256281407,0.08555284661440819,0.005554029304029305,0.18740405519656983,,,
Fusion,0.01507537688442211,0.12461511731227361,0.044709623538481305,0.20677505606348112,,,
Fusion,0.020100502512562814,0.16108270949974862,0.0727108927108927,0.22850502137814455,,,
Fusion,0.02512562814070352,0.18672147435081737,0.08364604969878478,0.3064403509614615,,,
Fusion,0.03015075376884422,0.21038993939950854,0.1402657056510925,0.34768788090524433,,,
Fusion,0.035175879396984924,0.23900686502633714,0.16017454434635575,0.3924827188940092,,,
Fusion,0.04020100502512563,0.27236055401084147,0.1734360319021086,0.42735384771398893,,,
Fusion,0.04522613065326633,0.3072450130312858,0.18444491558981535,0.4466530311874321,,,
Fusion,0.05025125628140704,0.3428488585067496,0.19550661046654608,0.4690467716102312,,,
Fusion,0.05527638190954774,0.37514897256203544,0.21857092583360216,0.49144195954983627,,,
Fusion,0.06030150753768844,0.4031710119019808,0.2526961980030572,0.5069394062335926,,,
Fusion,0.06532663316582915,0.42590665620081053,0.305349568076328,0.5267079546129626,,,
Fusion,0.07035175879396985,0.44710209918931315,0.33393296432964326,0.5352703307098775,,,
Fusion,0.07537688442211056,0.46322963786885657,0.36052363971635054,0.5487612693480262,,,
Fusion,0.08040201005025126,0.48007863192061484,0.39434239753948297,0.5626295501797582,,,
Fusion,0.08542713567839195,0.4946171104386807,0.4125609507812898,0.5821286998742399,,,
Fusion,0.09045226130653267,0.5089260226284212,0.429097605893186,0.5965704223112076,,,
Fusion,0.09547738693467336,0.5237862783425244,0.44244795767329076,0.6153913043478261,,,
Fusion,0.10050251256281408,0.5376603142728289,0.4532074487463982,0.6257118420409559,,,
Fusion,0.10552763819095477,0.5504864458494059,0.469420320018061,0.6347595440185742,,,
Fusion,0.11055276381909548,0.5643424332075204,0.48198872338664056,0.6459165742397746,,,
Fusion,0.11557788944723618,0.5771854811276472,0.4952557151893015,0.6555180157549937,,,
Fusion,0.12060301507537688,0.5894407425055617,0.5045017337196599,0.6641690336106039,,,
Fusion,0.12562814070351758,0.6018287043762843,0.5154757715280018,0.6727985739750445,,,
Fusion,0.1306532663316583,0.6123520063933336,0.5292966220158896,0.6832765078174161,,,
Fusion,0.135678391959799,0.6232137361653719,0.5450998687355512,0.6908942192704497,,,
Fusion,0.1407035175879397,0.6330308398736771,0.5598912715191785,0.7014243881690878,,,
Fusion,0.1457286432160804,0.642313264211959,0.5734273119057802,0.7065886213174194,,,
Fusion,0.15075376884422112,0.6514333446491071,0.5855336172409343,0.7129059506158759,,,
Fusion,0.15577889447236182,0.6601058622198106,0.5964819456047525,0.7201375166350769,,,
Fusion,0.16080402010050251,0.6675161409535885,0.6045081194258863,0.7267662971322357,,,
Fusion,0.1658291457286432,0.6749972936554838,0.6095293928686155,0.7310025154720149,,,
Fusion,0.1708542713567839,0.6816769413479028,0.6183602205243002,0.740272471668956,,,
Fusion,0.17587939698492464,0.6890324813638601,0.6310782853916118,0.7565240962232639,,,
Fusion,0.18090452261306533,0.6961165533764184,0.6374298452744406,0.7713820541258464,,,
Fusion,0.18592964824120603,0.7031357890470022,0.6447856468923222,0.7802753685813348,,,
Fusion,0.19095477386934673,0.7107481904005931,0.6503580137212762,0.790056953823068,,,
Fusion,0.19597989949748745,0.718725131595008,0.6552899708464415,0.7989306102412885,,,
Fusion,0.20100502512562815,0.7280555537222936,0.6630127727463793,0.8057335814562223,,,
Fusion,0.20603015075376885,0.737514742776039,0.6685075366322363,0.8130575849152559,,,
Fusion,0.21105527638190955,0.7471990206032865,0.6731440224310209,0.8183671745259335,,,
Fusion,0.21608040201005024,0.7564476890515395,0.6763574856832917,0.8244802997898153,,,
Fusion,0.22110552763819097,0.765569280573749,0.6825066591679145,0.8291870557465567,,,
Fusion,0.22613065326633167,0.7740275011132484,0.6914883730127344,0.8355049819071837,,,
Fusion,0.23115577889447236,0.782393552744037,0.6998191681735986,0.8387728405246543,,,
Fusion,0.23618090452261306,0.7897207177446071,0.7127364058926244,0.8420155485645578,,,
Fusion,0.24120603015075376,0.7967443949859446,0.7282977616758733,0.8467023172905526,,,
Fusion,0.24623115577889448,0.8032245564687968,0.7377231097644952,0.8493207238909136,,,
Fusion,0.25125628140703515,0.8085066802891472,0.7476575296271317,0.8535273508137432,,,
Fusion,0.2562814070351759,0.8135740446157551,0.7585185597173907,0.8568774086831964,,,
Fusion,0.2613065326633166,0.8181177168872467,0.7660017559564799,0.8596819018593471,,,
Fusion,0.2663316582914573,0.8224446317104995,0.7737830696792114,0.8624633738641058,,,
Fusion,0.271356783919598,0.8265868317125894,0.777975758976568,0.8652238474490481,,,
Fusion,0.2763819095477387,0.8304388893438178,0.783633083411434,0.8681009006473402,,,
Fusion,0.2814070351758794,0.8338590275336503,0.7872569573283859,0.8711460964032047,,,
Fusion,0.2864321608040201,0.8373072272005465,0.7935970015663459,0.8727956878915945,,,
Fusion,0.2914572864321608,0.840321765174975,0.7984624654574166,0.8767618391508472,,,
Fusion,0.2964824120603015,0.843291292033724,0.8033379968977159,0.8787373234982854,,,
Fusion,0.30150753768844224,0.8462995131414145,0.8079686573411937,0.8821416964575886,,,
Fusion,0.3065326633165829,0.8491025980273278,0.8097823715759922,0.8840027573058353,,,
Fusion,0.31155778894472363,0.8520258018857585,0.8119466978957146,0.888316629724462,,,
Fusion,0.3165829145728643,0.8549677073468334,0.8168977214069759,0.8904882461849192,,,
Fusion,0.32160804020100503,0.8581971454516839,0.8189771656351086,0.8926086747759283,,,
Fusion,0.32663316582914576,0.8611370738670201,0.8224567513778323,0.8952222724822914,,,
Fusion,0.3316582914572864,0.8637008508738464,0.8259126071300313,0.8961309989567031,,,
Fusion,0.33668341708542715,0.8664501840912572,0.8283085162185486,0.8977485483687333,,,
Fusion,0.3417085427135678,0.8690297432828473,0.8326923709576604,0.9000092250922509,,,
Fusion,0.34673366834170855,0.871522255938636,0.8348389039192007,0.9010830224709121,,,
Fusion,0.35175879396984927,0.8736993239550714,0.8381137589928057,0.901852887741442,,,
Fusion,0.35678391959798994,0.8759030491607034,0.840363184161547,0.9027563017725128,,,
Fusion,0.36180904522613067,0.8777996131696841,0.8436824373660634,0.9046825919546053,,,
Fusion,0.36683417085427134,0.8796324155492039,0.8444434731934732,0.9058958445763626,,,
Fusion,0.37185929648241206,0.8812066266526668,0.8498081620993322,0.9082576897561607,,,
Fusion,0.3768844221105528,0.8827946168417831,0.8516977427836011,0.9092673799477596,,,
Fusion,0.38190954773869346,0.8842251616529068,0.8558537975194549,0.9100999614242826,,,
Fusion,0.3869346733668342,0.8856047833517405,0.856618285901842,0.9111531190926276,,,
Fusion,0.3919597989949749,0.8870577215465529,0.8576512455516014,0.912807534080826,,,
Fusion,0.3969849246231156,0.8885432250135648,0.8610949612403102,0.91528619780001,,,
Fusion,0.4020100502512563,0.8899862590119709,0.8620689655172413,0.9168381872073766,,,
Fusion,0.40703517587939697,0.8914995070767451,0.8629173989455184,0.9200710479573713,,,
Fusion,0.4120603015075377,0.8932192930397124,0.8646725798183948,0.92375926748272,,,
Fusion,0.4170854271356784,0.895250576792527,0.8658285147511924,0.9312203669346526,,,
Fusion,0.4221105527638191,0.8974389342421885,0.8671394482259794,0.9353065670661087,,,
Fusion,0.4271356783919598,0.9001029021646005,0.8679893761301989,0.9412924395633832,,,
Fusion,0.4321608040201005,0.9032718387670702,0.8691566617602724,0.9447568744338272,,,
Fusion,0.4371859296482412,0.9066428483686707,0.8710265299969853,0.9496272012240954,,,
Fusion,0.44221105527638194,0.9103452937096791,0.8717469075250485,0.9541345449471518,,,
Fusion,0.4472361809045226,0.9144789020467594,0.8738898756660746,0.9580313467344366,,,
Fusion,0.45226130653266333,0.9188979402647077,0.8767086529271938,0.9600779395531057,,,
Fusion,0.457286432160804,0.923357438698077,0.8791791365265121,0.9628270030553621,,,
Fusion,0.4623115577889447,0.927497523734419,0.8808253356099859,0.9646064439735759,,,
Fusion,0.46733668341708545,0.9318923508161486,0.882663516670206,0.9663716814159292,,,
Fusion,0.4723618090452261,0.9363310018968809,0.8859797257900611,0.96819928206854,,,
Fusion,0.47738693467336685,0.9401993470674985,0.890333402423043,0.9691257591841436,,,
Fusion,0.4824120603015075,0.9440438509466861,0.898706862038594,0.969811320754717,,,
Fusion,0.48743718592964824,0.9471501177470529,0.9010791366906474,0.9699655477031802,,,
Fusion,0.49246231155778897,0.9498570447050488,0.9061371841155235,0.9700250807393664,,,
Fusion,0.49748743718592964,0.9520043820490418,0.9122947126611839,0.9713314358001265,,,
Fusion,0.5025125628140703,0.9541117603927348,0.9215319087250153,0.9725575459177924,,,
Fusion,0.507537688442211,0.9555365212728124,0.9289391437669536,0.9732172619047619,,,
Fusion,0.5125628140703518,0.9568787556530358,0.9332031610972498,0.9736391175654425,,,
Fusion,0.5175879396984925,0.957972171044205,0.9364750680190297,0.9740752721298008,,,
Fusion,0.5226130653266332,0.9588621201387919,0.9395680305145794,0.9743601462522852,,,
Fusion,0.5276381909547738,0.9595370313931584,0.9409658457049687,0.9749036478875189,,,
Fusion,0.5326633165829145,0.9602526257972528,0.9427526569669399,0.975332569420317,,,
Fusion,0.5376884422110553,0.9608139044780873,0.9436078622482131,0.9757562816650691,,,
Fusion,0.542713567839196,0.9614268296385815,0.9438391137693504,0.9768348355981809,,,
Fusion,0.5477386934673367,0.9620980308683547,0.9452529724175663,0.97731675999572,,,
Fusion,0.5527638190954774,0.9627103468261294,0.945843470412808,0.9774706452057834,,,
Fusion,0.5577889447236181,0.9632396363182262,0.9466046641421567,0.977511232763518,,,
Fusion,0.5628140703517588,0.9638892582464873,0.9471866183535689,0.9784955854348203,,,
Fusion,0.5678391959798995,0.9644972700278978,0.9472706365185071,0.9789157882099493,,,
Fusion,0.5728643216080402,0.9650433768055937,0.9476463043891317,0.9799288321167883,,,
Fusion,0.577889447236181,0.9655511840095349,0.948048566017316,0.9800486645359202,,,
Fusion,0.5829145728643216,0.9660973005918098,0.9487653870481194,0.9800486645359202,,,
Fusion,0.5879396984924623,0.9665209591791422,0.9495495495495495,0.9806951500372554,,,
