Threshold,Net_Benefit_Model,Net_Benefit_TreatAll,Net_Benefit_TreatNone
0.01,0.5424072575407887,0.5424072575407887,0
0.02,0.5377379438422253,0.5377379438422253,0
0.03,0.5329723556344131,0.5329723556344131,0
0.04,0.5281074843389383,0.5281074843389383,0
0.05,0.5231401947004009,0.5231401947004009,0
0.060000000000000005,0.518130353347223,0.5180672180482774,0
0.06999999999999999,0.5133318443359604,0.5128851451240654,0
0.08,0.5087945641422612,0.5075904184406312,0
0.09,0.5043314746578841,0.5021793241377811,0
0.09999999999999999,0.4993955379712056,0.49664798329486753,0
0.11,0.49219262272307984,0.49099234265773123,0
0.12,0.486422084344933,0.48520816473338724,0
0.13,0.48297463533317414,0.4792910172015871,0
0.14,0.4771467347549053,0.4732362615876521,0
0.15000000000000002,0.47361377785535574,0.4670390411357421,0
0.16,0.46987895059111673,0.4606942678159295,0
0.17,0.4652795156888682,0.454196608392025,0
0.18000000000000002,0.4611227714651034,0.44754046946997655,0
0.19,0.45652147366621487,0.4407199814387417,0
0.2,0.4549950544015826,0.433728981206726,0
0.21000000000000002,0.45340495060661834,0.4265609936270643,0
0.22,0.4501255421136727,0.41920921149407797,0
0.23,0.44566906881446944,0.411666473981014,0
0.24000000000000002,0.4432817949919309,0.403925243375501,0
0.25,0.44081767227167823,0.3959775799538411,0
0.26,0.4389820087149464,0.3878151148180822,0
0.27,0.4386271560776662,0.37942902050052163,0
0.28,0.43554236729310913,0.3708099791185844,0
0.29000000000000004,0.431172594419136,0.36194814783856444,0
0.3,0.4185389289246856,0.3528331213791154,0
0.31,0.4100402815407331,0.343453891254175,0
0.32,0.40158259149357073,0.3337988014196776,0
0.33,0.39415681237728273,0.3238554999483295,0
0.34,0.3902526751191439,0.31361088631118295,0
0.35000000000000003,0.38910446625580153,0.3030510537928935,0
0.36000000000000004,0.3867457962413452,0.2921612265084074,0
0.37,0.38643178999262084,0.2809256904212393,0
0.38,0.38113014900609427,0.26932771768609803,0
0.39,0.37667623356196595,0.2573494835498045,0
0.4,0.3722387075502802,0.24497197494230127,0
0.41000000000000003,0.3678854632936009,0.23217488977183182,0
0.42000000000000004,0.3650533783553327,0.2189365258023806,0
0.43,0.35995279990282336,0.20523365783400144,0
0.44,0.3580613254203759,0.19104140172389428,0
0.45,0.3524862872043881,0.17633306357341966,0
0.46,0.3487929076455288,0.16107997215811254,0
0.47000000000000003,0.3454453837970998,0.1452512923875109,0
0.48000000000000004,0.33706155367876434,0.1288138172411169,0
0.49,0.3307538643548419,0.11173173522623686,0
0.5,0.3293768545994066,0.09396636993076157,0
0.51,0.32311915864268553,0.07547588768445057,0
0.52,0.31503461918892184,0.056214968677876564,0
0.53,0.3067323273775701,0.036134436096554756,0
0.54,0.2986711392078441,0.015180836881262483,0
0.55,0.2906912847565666,-0.006704033410265042,0
0.56,0.28252854959086415,-0.029583670533225526,0
0.5700000000000001,0.27007567915717795,-0.05352747682469605,0
0.5800000000000001,0.264801469549244,-0.07861146436814115,0
0.59,0.2626715881402138,-0.10491906106004678,0
0.6,0.258160237388724,-0.13254203758654792,0
0.61,0.2527327601511578,-0.16158157701184417,0
0.62,0.2416575563537925,-0.19214951324899787,0
0.63,0.23455502980725534,-0.22436977036383565,0
0.64,0.22672821189141662,-0.25838004176283125,0
0.65,0.21661721068249257,-0.29433375724176936,0
0.66,0.1985803223366498,-0.3324023971606448,0
0.67,0.18979108593351918,-0.3727782273776342,0
0.68,0.17569238377843718,-0.41567754698318526,0
0.6900000000000001,0.16661880603682078,-0.46134456462780427,0
0.7000000000000001,0.15858885591823277,-0.5100560501153977,0
0.7100000000000001,0.13475902998055866,-0.5621269483952391,0
0.72,0.12067260138476757,-0.6179171965522114,0
0.73,0.09458914899073159,-0.6778400556837747,0
0.74,0.06589058814578103,-0.7423723655177661,0
0.75,0.06726013847675569,-0.8120672601384769,0
0.76,0.05967688757006265,-0.8875700626442469,0
0.77,0.05891712897260568,-0.969638326237475,0
0.78,0.040733746965200976,-1.059167341066451,0
0.79,0.028354764259808766,-1.1572229287362823,0
0.8,0.026706231454005934,-1.2650840751730965,0
0.81,0.015773856004997654,-1.3842990264979964,0
0.8200000000000001,0.013188262446422678,-1.516760083525663,0
0.8300000000000001,0.012102170244952576,-1.6648047943212907,0
0.8400000000000001,0.008407517309594456,-1.8313550939663719,0
0.85,-0.0013188262446422669,-2.0201121002307945,0
0.86,-0.006217323724742121,-2.235834393104423,0
0.87,0.002967359050445104,-2.484744731035532,0
0.88,0.002967359050445104,-2.7751401252884937,0
0.89,0.002967359050445104,-3.118334682132902,0
0.9,0.0019782393669634025,-3.530168150346193,0
0.91,0.0019782393669634025,-4.033520167051326,0
0.92,0.0019782393669634025,-4.662710187932744,0
0.93,0.0019782393669634025,-5.47166878620885,0
0.9400000000000001,0.0019782393669634025,-6.550280250576994,0
0.9500000000000001,0.0019782393669634025,-8.060336300692397,0
0.9600000000000001,0.0009891196834817012,-10.325420375865502,0
0.97,0.0,-14.100560501153963,0
0.98,0.0,-21.650840751730943,0
0.99,0.0,-44.30168150346188,0
